ISO,YEAR,CMR,MMR,IMR,MNR,SBR
AFG,2000,6.1973,15000,48,2275.7,39296
AFG,2001,6.027,15000,59,2354.8,39727
AFG,2002,5.8589,14000,62,2422.7,40035
AFG,2003,5.7266,14000,66,2484.1,40456
AFG,2004,5.7028,13000,72,2531.3,40778
AFG,2005,5.7549,13000,76,2554.4,41051
AFG,2006,5.8587,13000,75,2580,41042
AFG,2007,5.981,13000,76,2579.3,40923
AFG,2008,6.057,12000,75,2562.4,40706
AFG,2009,5.9928,12000,72,2534.7,40357
AFG,2010,5.7462,11000,72,2507.4,39734
AFG,2011,5.3562,11000,78,2466.3,39160
AFG,2012,4.8823,10000,78,2417.3,38702
AFG,2013,4.3537,9600,76,2363.2,38042
AFG,2014,3.8228,9300,73,2307.7,37620
AFG,2015,3.3544,8400,73,2260.4,37252
AFG,2016,2.9856,8100,73,2203.5,36875
AFG,2017,2.7299,7700,73,2148.1,36453
AFG,2018,2.5435,7700,73,2096.6,35934
AFG,2019,2.3892,7700,73,2045.2,35384
AFG,2020,2.3892,7700,73,1988.8,35384
ALB,2000,2.1601,12,98,83,329
ALB,2001,2.0839,11,97,80.4,305
ALB,2002,2.0092,10,98,76.6,283
ALB,2003,1.9373,9,97,71.9,264
ALB,2004,1.8645,7,98,66.3,246
ALB,2005,1.7919,9,99,60.4,230
ALB,2006,1.7191,7,98,54.4,214
ALB,2007,1.6488,7,98,48.5,198
ALB,2008,1.5796,7,99,43.3,183
ALB,2009,1.5112,7,99,38.8,171
ALB,2010,1.4461,7,99,35.2,161
ALB,2011,1.3816,8,99,32.3,156
ALB,2012,1.3205,6,99,29.9,152
ALB,2013,1.2608,6,99,28,148
ALB,2014,1.2032,6,99,26.2,143
ALB,2015,1.1479,5,99,24.5,140
ALB,2016,1.0952,5,99,23.5,137
ALB,2017,1.0446,5,99,21.9,137
ALB,2018,0.9955,5,99,19.7,137
ALB,2019,0.9492,5,99,17.6,137
ALB,2020,0.9492,5,99,15.9,137
DZA,2000,3.6128,980,95,680.7,10605
DZA,2001,3.4314,940,92,628.1,10440
DZA,2002,3.2555,910,93,589.5,10424
DZA,2003,3.5233,920,93,562.5,10472
DZA,2004,2.9443,890,93,544.6,10584
DZA,2005,2.815,880,94,531.1,10706
DZA,2006,2.7004,890,98,523.4,10860
DZA,2007,2.5964,920,98,521.8,10962
DZA,2008,2.495,950,97,524,11008
DZA,2009,2.395,990,98,527.5,10906
DZA,2010,2.2959,1000,99,529.3,10796
DZA,2011,2.2,1100,99,540.4,10693
DZA,2012,2.1079,1100,99,540.2,10615
DZA,2013,2.0205,1100,99,532.9,10441
DZA,2014,1.9409,1100,99,523.8,10195
DZA,2015,1.8711,1200,99,516.6,9898
DZA,2016,1.8137,1200,96,505.8,9765
DZA,2017,1.7647,1200,95,494.7,9750
DZA,2018,1.7204,1200,96,488.6,9768
DZA,2019,1.6757,1200,96,479.5,9674
DZA,2020,1.6757,1200,96,466.8,9674
AND,2000,0.8791,,99,,3
AND,2001,0.8389,,96,,3
AND,2002,0.8039,,99,,3
AND,2003,0.7659,,99,,3
AND,2004,0.734,,99,,2
AND,2005,0.7018,,99,,2
AND,2006,0.6698,,96,,2
AND,2007,0.6408,,96,,2
AND,2008,0.6091,,99,,2
AND,2009,0.5798,,99,,2
AND,2010,0.5525,,99,,2
AND,2011,0.5244,,99,,2
AND,2012,0.4991,,99,,2
AND,2013,0.4751,,96,,2
AND,2014,0.4528,,99,,2
AND,2015,0.4328,,99,,2
AND,2016,0.415,,99,,1
AND,2017,0.398,,99,,1
AND,2018,0.3829,,99,,1
AND,2019,0.3694,,99,,1
AND,2020,0.3694,,99,,1
AGO,2000,30.7253,6600,44,1474.5,24539
AGO,2001,29.7315,6300,57,1440.5,24876
AGO,2002,28.6128,5800,65,1401.4,25040
AGO,2003,27.3668,5500,68,1364.1,25279
AGO,2004,25.9706,5200,75,1333.5,25462
AGO,2005,24.5132,4800,62,1315.7,25531
AGO,2006,23.0057,4500,66,1313.6,25484
AGO,2007,21.5154,4300,69,1322.4,25469
AGO,2008,20.0201,4000,69,1342.7,25582
AGO,2009,18.6321,3700,68,1379.5,25660
AGO,2010,17.3289,3500,68,1426.5,25603
AGO,2011,16.0872,3300,68,1488.4,25525
AGO,2012,14.9559,3100,66,1554.8,25415
AGO,2013,13.9711,3100,67,1626.2,25444
AGO,2014,13.1089,3000,69,1700.3,25392
AGO,2015,12.3773,3000,72,1784.4,25458
AGO,2016,11.7709,3000,74,1872.8,25538
AGO,2017,11.2274,3000,68,1960.6,25673
AGO,2018,10.7823,3000,74,2043.2,25745
AGO,2019,10.3333,3000,67,2119.6,25967
AGO,2020,10.3333,3000,67,2186.7,25967
ATG,2000,1.3438,1,98,,13
ATG,2001,1.3166,1,99,,13
ATG,2002,1.2842,1,98,,13
ATG,2003,1.2483,1,99,,13
ATG,2004,1.209,1,99,,12
ATG,2005,1.1681,1,99,,12
ATG,2006,1.1264,1,99,,12
ATG,2007,1.084,1,99,,11
ATG,2008,1.042,1,99,,11
ATG,2009,1.0006,1,99,,10
ATG,2010,0.96,1,99,,10
ATG,2011,0.9202,1,99,,10
ATG,2012,0.8825,1,99,,9
ATG,2013,0.8463,1,99,,9
ATG,2014,0.8141,1,99,,9
ATG,2015,0.7856,1,99,,9
ATG,2016,0.7593,1,97,,9
ATG,2017,0.7351,1,96,,8
ATG,2018,0.7135,1,99,,8
ATG,2019,0.6936,1,99,,8
ATG,2020,0.6936,1,99,,8
ARG,2000,1.3019,480,96,368.2,5669
ARG,2001,1.2717,480,96,358.3,5509
ARG,2002,1.2482,470,96,348.9,5322
ARG,2003,1.2366,470,96,341.7,5004
ARG,2004,1.2369,440,99,334.2,4571
ARG,2005,1.2457,430,99,320.3,4279
ARG,2006,1.2558,420,93,311.3,4151
ARG,2007,1.2541,410,94,305.5,4070
ARG,2008,1.2341,390,97,299.6,3983
ARG,2009,1.197,410,94,293.5,3894
ARG,2010,1.1486,380,95,289.8,3624
ARG,2011,1.0966,360,94,285.4,3660
ARG,2012,1.0494,350,94,284.7,3831
ARG,2013,1.0102,330,94,286.8,3915
ARG,2014,0.9796,320,98,289.8,3939
ARG,2015,0.9547,310,94,288.9,3871
ARG,2016,0.9293,300,93,290,3956
ARG,2017,0.8951,290,91,288.9,3978
ARG,2018,0.8494,290,91,288.4,4042
ARG,2019,0.8034,290,91,288.8,4042
ARG,2020,0.8034,290,91,289.8,4042
ARM,2000,0.989,17,97,34.8,835
ARM,2001,0.971,17,98,34.2,810
ARM,2002,0.961,16,98,34.4,792
ARM,2003,0.9577,15,98,35.1,775
ARM,2004,0.9599,15,97,35.8,762
ARM,2005,0.967,15,96,36,747
ARM,2006,0.9769,16,95,36.8,731
ARM,2007,0.9901,14,96,35.9,716
ARM,2008,1.0044,16,96,34.3,703
ARM,2009,1.0185,14,97,32.7,688
ARM,2010,1.0313,14,98,31.5,681
ARM,2011,1.0412,13,98,30.3,671
ARM,2012,1.0481,13,98,29.2,654
ARM,2013,1.0514,11,97,28.1,635
ARM,2014,1.0506,12,97,26.9,621
ARM,2015,1.0463,12,97,25.7,608
ARM,2016,1.039,11,97,23.9,592
ARM,2017,1.0291,11,97,22.5,571
ARM,2018,1.0169,11,96,21.2,549
ARM,2019,1.0021,11,96,19.9,526
ARM,2020,1.0021,11,96,18.7,526
AUS,2000,0.6301,17,96,16.4,794
AUS,2001,0.606,15,97,16.9,768
AUS,2002,0.5829,14,97,17.5,748
AUS,2003,0.5617,14,97,18.3,751
AUS,2004,0.5426,14,97,19.3,755
AUS,2005,0.5261,14,97,20.6,768
AUS,2006,0.5119,14,97,22.1,794
AUS,2007,0.4998,15,97,24,831
AUS,2008,0.4897,15,97,25.8,860
AUS,2009,0.4809,16,97,27.5,872
AUS,2010,0.4721,16,97,29,868
AUS,2011,0.4632,18,92,30.6,839
AUS,2012,0.4535,18,92,31.7,826
AUS,2013,0.4431,19,92,32.1,800
AUS,2014,0.4314,20,92,32.5,767
AUS,2015,0.4189,20,97,33,739
AUS,2016,0.4058,21,98,33.2,719
AUS,2017,0.3927,20,98,33.7,713
AUS,2018,0.3803,20,98,34.3,713
AUS,2019,0.3682,20,98,34.8,707
AUS,2020,0.3682,20,98,35.3,707
