,Index,ProductName,ScrapeDate,ScrapedIndex,ScrapedIndexTrueRank,CorrectedIndexTrueRank,ScrapedIndexPrice,CorrectedPrice,ScrapedIndexVendor,ScrapedIndexVendorType
0,189,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,2,2,1,107.73,107.73,BuyVPC,Other
1,190,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,3,3,2,109.8,109.8,pcrush-outlet,Other
2,191,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,1,1,3,99.99,109.97,Amazon.com,Amazon
3,192,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,4,4,4,109.99,109.99,Technology Galaxy,Other
4,193,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,5,5,5,111.53,111.53,Brooklyn Parkway,Other
5,194,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,71,71,5,111.53,111.53,Brooklyn Parkway,Other
6,195,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,6,6,6,112.39,112.39,Galactics,Other
7,196,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,7,7,7,114.95,114.95,Ace Micros,Other
8,197,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,8,8,8,114.99,114.99,J-Electronics,Other
9,198,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,9,9,9,115,115,buyoo - Lowest Trusted Price!,Other
10,199,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,10,10,10,116.22,116.22,Erwin Comp,Other
11,200,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,11,11,11,116.29,116.29,DataVision Computer Video,Other
12,201,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,12,12,12,116.66,116.66,JM PRIME,Other
13,202,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,13,13,13,117.4,117.4,antonline,Other
14,203,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,14,14,14,117.47,117.47,my Goods,Other
15,204,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,15,15,15,117.49,117.49,"Global Supplies (We currently can't ship to, HI, AK,APO,FPO, POB)",Other
16,205,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,16,16,16,117.81,117.81,America's Distributor,Other
17,206,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,17,17,17,118.29,118.29,AZPerfume,Other
18,207,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,18,18,18,118.42,118.42,Beach Audio,Other
19,208,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,19,19,19,118.48,118.48,Wholesale Connection,Other
20,209,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,20,20,20,118.95,118.95,PORTABLE GUY,Other
21,210,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,21,21,21,119,119,Tri State Camera,Other
22,211,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,22,22,22,119.27,119.27,kakka31(We do not ship to AK/HI/PO/APO/FPO),Other
23,212,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,6/21/16,23,23,23,119.34,119.34,GizmosForLife,Other
